"Identificação do post","Identificação da conta","Nome de usuário da conta","Nome da conta",Descrição,"Duração (s)","Horário de publicação","Link permanente","Tipo de post","Comentário de dados",Data,Visualizações,Alcance,Curtidas,Compartilhamentos,Respostas,Navegação,"Visitas ao perfil","Toques em figurinhas",Seguimentos
17995639190697463,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,0,"10/29/2025 07:18",https://www.instagram.com/stories/institutolucianeprado/3754132904646729679,"Story do Instagram",,Total,262,233,6,0,0,249,,2,
17939893920087674,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,0,"10/29/2025 07:18",https://www.instagram.com/stories/institutolucianeprado/3754132822606143260,"Story do Instagram",,Total,270,238,7,0,1,243,2,,
18080640221027339,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,0,"10/29/2025 07:18",https://www.instagram.com/stories/institutolucianeprado/3754132769053253431,"Story do Instagram",,Total,293,242,17,0,4,278,,,
17883207429406162,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,0,"10/29/2025 07:18",https://www.instagram.com/stories/institutolucianeprado/3754132724761365386,"Story do Instagram",,Total,302,248,22,0,4,255,,,
17984251451917225,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,0,"10/29/2025 07:18",https://www.instagram.com/stories/institutolucianeprado/3754132640858565251,"Story do Instagram",,Total,309,256,11,0,1,269,2,,
18331371301237690,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,0,"10/29/2025 07:18",https://www.instagram.com/stories/institutolucianeprado/3754132425933987426,"Story do Instagram",,Total,325,272,9,0,2,231,,,
17916425310071014,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,0,"10/29/2025 07:17",https://www.instagram.com/stories/institutolucianeprado/3754132142726218773,"Story do Instagram",,Total,335,290,11,0,0,223,1,,
18117637576528169,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,0,"10/28/2025 14:45",https://www.instagram.com/stories/institutolucianeprado/3753632671928154690,"Story do Instagram",,Total,207,171,3,0,1,188,1,,
18060807158185168,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,0,"10/28/2025 14:44",https://www.instagram.com/stories/institutolucianeprado/3753632639069933136,"Story do Instagram",,Total,202,175,4,0,0,185,,,
18058339778564396,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,0,"10/28/2025 14:44",https://www.instagram.com/stories/institutolucianeprado/3753632463227928795,"Story do Instagram",,Total,191,176,6,0,0,161,,,
17923341732168975,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,0,"10/28/2025 14:44",https://www.instagram.com/stories/institutolucianeprado/3753632420227923728,"Story do Instagram",,Total,189,177,4,0,0,181,,,
18056167925632533,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,0,"10/28/2025 14:44",https://www.instagram.com/stories/institutolucianeprado/3753632380046531714,"Story do Instagram",,Total,193,178,8,1,2,171,,,
18072902992992777,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,0,"10/28/2025 14:44",https://www.instagram.com/stories/institutolucianeprado/3753632343916802474,"Story do Instagram",,Total,195,182,4,0,0,181,,,
17854347543558573,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,0,"10/28/2025 14:44",https://www.instagram.com/stories/institutolucianeprado/3753632316284683887,"Story do Instagram",,Total,198,183,5,0,0,188,,,
17901538209282196,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,0,"10/28/2025 14:44",https://www.instagram.com/stories/institutolucianeprado/3753632300287640485,"Story do Instagram",,Total,198,184,5,0,2,187,,,
18145556515425931,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,0,"10/28/2025 14:44",https://www.instagram.com/stories/institutolucianeprado/3753632281564270898,"Story do Instagram",,Total,198,187,5,0,2,186,,,
17845414944582667,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,0,"10/28/2025 14:44",https://www.instagram.com/stories/institutolucianeprado/3753632251231051069,"Story do Instagram",,Total,208,189,2,0,0,198,,,
17894614914345619,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,0,"10/28/2025 14:44",https://www.instagram.com/stories/institutolucianeprado/3753632233598157249,"Story do Instagram",,Total,212,190,9,0,3,193,,,
17851580103570823,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,0,"10/28/2025 14:44",https://www.instagram.com/stories/institutolucianeprado/3753632189851617042,"Story do Instagram",,Total,210,192,6,0,0,186,,,
17978984981930661,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,0,"10/28/2025 14:44",https://www.instagram.com/stories/institutolucianeprado/3753632175641329349,"Story do Instagram",,Total,214,193,5,0,1,199,,,
18140843197450052,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,0,"10/28/2025 14:44",https://www.instagram.com/stories/institutolucianeprado/3753632127415171609,"Story do Instagram",,Total,215,195,4,0,0,200,,,
18080869552863130,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,0,"10/28/2025 14:43",https://www.instagram.com/stories/institutolucianeprado/3753632098499645160,"Story do Instagram",,Total,225,199,2,0,1,209,,,
18051058316659090,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,0,"10/28/2025 14:43",https://www.instagram.com/stories/institutolucianeprado/3753632066513924532,"Story do Instagram",,Total,236,206,6,0,2,192,,,
18081730832044751,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,0,"10/28/2025 14:43",https://www.instagram.com/stories/institutolucianeprado/3753632043470379299,"Story do Instagram",,Total,227,213,3,0,1,199,,,
18048470678361220,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,0,"10/28/2025 14:43",https://www.instagram.com/stories/institutolucianeprado/3753632000042544384,"Story do Instagram",,Total,235,219,3,0,0,192,,,
18000975791673010,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,0,"10/28/2025 14:43",https://www.instagram.com/stories/institutolucianeprado/3753631961404646618,"Story do Instagram",,Total,257,228,8,0,6,207,,2,
18061957349430100,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,0,"10/28/2025 14:43",https://www.instagram.com/stories/institutolucianeprado/3753631897684748973,"Story do Instagram",,Total,305,237,7,0,0,231,,,
18151297459423277,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,0,"10/28/2025 14:43",https://www.instagram.com/stories/institutolucianeprado/3753631861940886242,"Story do Instagram",,Total,341,256,13,0,2,173,1,,
18071479727221163,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,0,"10/28/2025 07:50",https://www.instagram.com/stories/institutolucianeprado/3753423877075817952,"Story do Instagram",,Total,191,142,1,0,1,168,,2,
17922392151180306,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,0,"10/28/2025 07:50",https://www.instagram.com/stories/institutolucianeprado/3753423813934730634,"Story do Instagram",,Total,179,147,3,0,1,105,,,
18162137407386288,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,0,"10/28/2025 07:49",https://www.instagram.com/stories/institutolucianeprado/3753423759484301959,"Story do Instagram",,Total,167,150,3,0,0,150,,,
18029090216744888,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,0,"10/28/2025 07:49",https://www.instagram.com/stories/institutolucianeprado/3753423699220517091,"Story do Instagram",,Total,166,150,4,0,0,153,,,
18063061493388981,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,0,"10/28/2025 07:49",https://www.instagram.com/stories/institutolucianeprado/3753423599379321600,"Story do Instagram",,Total,175,151,4,0,1,154,,,
18174893782365604,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,0,"10/28/2025 07:48",https://www.instagram.com/stories/institutolucianeprado/3753422984150446149,"Story do Instagram",,Total,172,151,3,0,0,149,,,
18057811853554341,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,47,"10/28/2025 07:01",https://www.instagram.com/stories/institutolucianeprado/3753399152667545005,"Story do Instagram",,Total,174,148,4,0,1,152,,,
18544964548033332,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,0,"10/28/2025 05:53",https://www.instagram.com/stories/institutolucianeprado/3753365369001266300,"Story do Instagram",,Total,183,150,2,0,1,158,,4,
18541703509013579,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,0,"10/28/2025 05:53",https://www.instagram.com/stories/institutolucianeprado/3753365269050966443,"Story do Instagram",,Total,178,153,4,0,0,112,,2,
18099463786639774,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,0,"10/28/2025 05:53",https://www.instagram.com/stories/institutolucianeprado/3753365188881026741,"Story do Instagram",,Total,165,154,6,0,0,145,,2,
17977549352777762,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,0,"10/28/2025 05:53",https://www.instagram.com/stories/institutolucianeprado/3753365068261260162,"Story do Instagram",,Total,172,156,4,0,0,159,,,
17987243597903040,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,0,"10/28/2025 05:53",https://www.instagram.com/stories/institutolucianeprado/3753365020479733822,"Story do Instagram",,Total,186,159,6,0,0,172,,,
18361254097092562,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,0,"10/28/2025 05:53",https://www.instagram.com/stories/institutolucianeprado/3753364999575346024,"Story do Instagram",,Total,195,163,4,0,0,161,,,
18122108947507815,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",@drosternopotenciano,11,"10/28/2025 04:09",https://www.instagram.com/stories/institutolucianeprado/3753312707567221088,"Story do Instagram",,Total,187,162,5,0,0,161,,,
,,,,,,,,,"An error occurred while computing metadata for content with ID 18059654537198799.",Total,186,168,5,0,0,165,,,
,,,,,,,,,"An error occurred while computing metadata for content with ID 17864582490488574.",Total,200,176,4,0,0,174,,,
18053444525307966,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",@drosternopotenciano,26,"10/28/2025 04:01",https://www.instagram.com/stories/institutolucianeprado/3753308612877900477,"Story do Instagram",,Total,225,193,7,0,0,196,,,
18063595454435505,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,0,"10/27/2025 18:12",https://www.instagram.com/stories/institutolucianeprado/3753012357158295682,"Story do Instagram",,Total,285,237,8,0,0,225,,,
18092979772803270,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,0,"10/27/2025 18:12",https://www.instagram.com/stories/institutolucianeprado/3753012173363908760,"Story do Instagram",,Total,296,246,7,0,0,235,,,
17900760993300222,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,0,"10/27/2025 18:12",https://www.instagram.com/stories/institutolucianeprado/3753012116833069811,"Story do Instagram",,Total,316,250,9,0,0,279,,,
17853120252563326,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,0,"10/27/2025 18:11",https://www.instagram.com/stories/institutolucianeprado/3753011962373626197,"Story do Instagram",,Total,314,257,16,0,7,245,,1,
18093970150875610,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,0,"10/27/2025 18:11",https://www.instagram.com/stories/institutolucianeprado/3753011909433118896,"Story do Instagram",,Total,306,260,11,0,1,277,,,
17874390414350311,17841402073846050,institutolucianeprado,"Instituto Luciane Prado","Será que ela vira blogueira nessa viagem?",0,"10/27/2025 18:08",https://www.instagram.com/stories/institutolucianeprado/3753010302217790214,"Story do Instagram",,Total,333,276,12,0,1,288,1,,
17970347585808415,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,0,"10/27/2025 14:56",https://www.instagram.com/stories/institutolucianeprado/3752913646990369716,"Story do Instagram",,Total,360,288,8,0,0,316,,,
17853092598563923,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,0,"10/27/2025 14:56",https://www.instagram.com/stories/institutolucianeprado/3752913585828991409,"Story do Instagram",,Total,384,301,6,0,0,284,,,
18086255263765843,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,3,"10/27/2025 14:56",https://www.instagram.com/stories/institutolucianeprado/3752913525800169386,"Story do Instagram",,Total,391,307,4,0,0,254,,,
18092567428876357,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,0,"10/27/2025 14:56",https://www.instagram.com/stories/institutolucianeprado/3752913485291546378,"Story do Instagram",,Total,382,318,4,0,0,316,,,
18084338710955306,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,0,"10/27/2025 14:55",https://www.instagram.com/stories/institutolucianeprado/3752913421823315490,"Story do Instagram",,Total,398,338,6,0,1,347,2,,
18073686431228359,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,15,"10/27/2025 05:14",https://www.instagram.com/stories/institutolucianeprado/3752620810213267869,"Story do Instagram",,Total,576,459,7,0,2,482,,,
18143354722442558,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,0,"10/27/2025 05:14",https://www.instagram.com/stories/institutolucianeprado/3752620483451875664,"Story do Instagram",,Total,599,516,7,0,1,489,1,2,
,,,,,,,,,"An error occurred while computing metadata for content with ID 18068121050590827.",Total,147,130,1,0,0,138,1,,
,,,,,,,,,"An error occurred while computing metadata for content with ID 18156513535404162.",Total,144,138,1,0,0,134,,,
18062258363418432,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",@drosternopotenciano,24,"10/24/2025 14:38",https://www.instagram.com/stories/institutolucianeprado/3750730059627941390,"Story do Instagram",,Total,166,153,3,0,0,145,1,,
18085995013939558,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,60,"10/24/2025 05:47",https://www.instagram.com/stories/institutolucianeprado/3750462747180030378,"Story do Instagram",,Total,182,147,2,0,0,163,,,
18050094494659436,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,31,"10/23/2025 16:38",https://www.instagram.com/stories/institutolucianeprado/3750066054227873667,"Story do Instagram",,Total,192,169,1,0,0,177,,7,
