"Início dos relatórios","Término dos relatórios","Nome da campanha","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios",Resultados,"Indicador de resultados","Custo por resultados","Valor usado (BRL)",Alcance,Impressões,"Cliques (todos)","Cliques no link","CPC (custo por clique no link) (BRL)","CTR (taxa de cliques no link)","Reproduções de 25% do vídeo","Reproduções de 100% do vídeo","Conversas por mensagem iniciadas","Visitas ao perfil do Instagram"
2025-08-26,2025-10-25,"[ILP]  [MSG] [LISTA CLIENTES] [ENGAJ. -> WPP] - Vídeos Tecnologia",150,Diário,4,actions:onsite_conversion.messaging_conversation_started_7d,118.2225,472.89,811,6228,54,42,11.259286,0.674374,264,68,4,19
2025-08-26,2025-10-25,"[ILP] [MSG] [Rmkt IG + Video View]  [ENGAJ. -> WPP] - Vídeos Tecnologia",110,Diário,7,actions:onsite_conversion.messaging_conversation_started_7d,72.07142857,504.5,5182,15056,152,86,5.866279,0.571201,633,171,7,94
2025-08-26,2025-10-25,"[ILP][MSG] [ENGAJ. -> WPP] [FRIO] - Vídeos + Postagens IG",170,Diário,91,actions:onsite_conversion.messaging_conversation_started_7d,28.17043956,2563.51,22718,75520,804,455,5.634088,0.602489,4688,1126,91,419
