"Início dos relatórios","Término dos relatórios","Nome da campanha","Veiculação da campanha","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios",Resultados,"Indicador de resultados","Custo por resultados","Valor usado (BRL)",Alcance,Impressões,"Cliques (todos)","Cliques no link","CPC (custo por clique no link) (BRL)","CTR (taxa de cliques no link)","Reproduções de 25% do vídeo","Reproduções de 100% do vídeo","Visitas ao perfil do Instagram","Conversas por mensagem iniciadas"
2025-11-01,2025-11-30,"[ILP] [BF] [MSG] [Engaj. -> Wpp] [Rmkt Amplo] - Mix Criativos",inactive,"Usando o orçamento do conjunto de anúncios",0,48,actions:onsite_conversion.messaging_conversation_started_7d,27.5375,1321.8,9647,31500,485,215,6.147907,0.68254,2926,761,359,48
2025-11-01,2025-11-30,"[ILP] [BF] [2] [MSG] [Engaj. -> Wpp] [Rmkt Amplo] - Video Osterno",inactive,"Usando o orçamento do conjunto de anúncios",0,1,actions:onsite_conversion.messaging_conversation_started_7d,254.56,254.56,3616,6931,49,33,7.713939,0.476122,266,70,44,1
