"Início dos relatórios","Término dos relatórios","Nome da campanha","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios",Resultados,"Indicador de resultados","Custo por resultados","Valor usado (BRL)",Alcance,Impressões,"Cliques (todos)","Cliques no link","CPC (custo por clique no link) (BRL)","CTR (taxa de cliques no link)","Reproduções de 25% do vídeo","Reproduções de 100% do vídeo","Conversas por mensagem iniciadas","Visitas ao perfil do Instagram"
2025-08-26,2025-10-25,"[Audiencia] [Posts Geral [Trafego -> View] [Pub. Frio] - Posts IG","Usando o orçamento do conjunto de anúncios",0,1083,profile_visit_view,0.28218837,305.61,21009,40628,1062,1079,0.283234,2.655804,830,163,,1083
2025-08-26,2025-10-25,"[Audiencia] [View ig]","Usando o orçamento do conjunto de anúncios",0,2172,profile_visit_view,0.56421731,1225.48,46337,195523,2212,2269,0.540097,1.160477,,,5,2172
2025-08-26,2025-10-25,"[ILP] [Audiencia] [Trafego -> Visitou Perfil IG] - Posts IG",50,Diário,1428,profile_visit_view,0.39416667,562.87,35515,133585,1371,1391,0.404651,1.041285,3751,994,1,1428
2025-08-26,2025-10-25,"[ILP] [Audiencia] [2] [Trafego -> Visitou Perfil IG] - Posts IG",50,Diário,1502,profile_visit_view,0.36684421,551,26150,45446,1497,1529,0.360366,3.364433,3958,623,2,1502
2025-08-26,2025-10-25,"[ILP] [Audiencia] [3] [Trafego -> Visitou Perfil IG] - Posts IG",50,Diário,1574,profile_visit_view,0.34984752,550.66,34561,67257,1549,1571,0.350516,2.335816,1575,357,1,1574
2025-08-26,2025-10-25,"[ILP] [Audiencia] [17/10] [Trafego -> Visitou Perfil IG] - Posts IG",50,Diário,898,profile_visit_view,0.35623608,319.9,22643,44730,882,893,0.358231,1.996423,3187,365,,898
2025-08-26,2025-10-25,"[ILP] [Audiencia] [26/09] [Trafego -> Visitou Perfil IG] - Posts IG",50,Diário,572,profile_visit_view,0.42513986,243.18,19628,44033,551,559,0.435027,1.269502,2616,211,,572
2025-08-26,2025-10-25,"[ILP] [Audiencia] [Feed] [Trafego -> Visitou Perfil IG] - Posts IG",50,Diário,415,profile_visit_view,0.59139759,245.43,17568,37726,405,414,0.592826,1.097386,260,96,,415
