"Início dos relatórios","Término dos relatórios","Nome da campanha","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios",Resultados,"Indicador de resultados","Custo por resultados","Valor usado (BRL)",Alcance,Impressões,"Cliques (todos)","Cliques no link","CPC (custo por clique no link) (BRL)","CTR (taxa de cliques no link)","Reproduções de 25% do vídeo","Reproduções de 100% do vídeo","Visitas ao perfil do Instagram","Conversas por mensagem iniciadas"
2025-09-01,2025-09-30,"[ILP] [Conversas por Mensagem Wpp] [Publico Frio] [Cbo] - BIO ESTIMULADOR",105,Diário,30,actions:onsite_conversion.messaging_conversation_started_7d,37.30366667,1119.11,17308,36152,602,334,3.350629,0.923877,2130,349,293,30
2025-09-01,2025-09-30,"[ILP] [2] [Conversas por Mensagem Wpp] [Publico Frio] [Cbo] - Gluteo",105,Diário,11,actions:onsite_conversion.messaging_conversation_started_7d,74.03090909,814.34,13011,23977,179,101,8.062772,0.421237,,,124,11
2025-09-01,2025-09-30,"[ILP] [Audiencia] [Trafego -> View Ig] [Pub. Frio] - Video Bioestimulador","Usando o orçamento do conjunto de anúncios",0,1510,profile_visit_view,0.4344106,655.96,49289,87088,1490,1518,0.432121,1.743064,1837,335,1510,1
2025-09-01,2025-09-30,"[ILP] [Conversas por Mensagem Wpp] [Publico Frio] [Cbo] - Melasma",105,Diário,5,actions:onsite_conversion.messaging_conversation_started_7d,46.92,234.6,7101,10830,74,52,4.511538,0.480148,500,63,23,5
2025-09-01,2025-09-30,"[ILP] [Audiencia] [Trafego -> View Perfil IG] [Frio] - Posts IG",55,Diário,341,profile_visit_view,0.60785924,207.28,15388,29687,348,351,0.590541,1.182336,5129,257,341,1
